                                 Test Report,,,,,
,,,,,
>>Start Time: 01/10/19 09:11:06       End Time: 01/10/19 13:43:35,,,,,
>>Sampling rate: 1sec,,,,,
>>Data number: 16350,,,,,
>>Temp Alarm HI: 40 C   Temp Alarm Low: 0 C,,,,,
>>RH Alarm HI: 90 %RH   RH Alarm Low: 10 %RH,,,,,
>>Temp MAX: 31.4 C @13:22:19 01/10/19  Temp MIN: 27.6 C @09:13:18 01/10/19  Temp AVG: 29.69 C,,,,,
>>RH MAX: 66.3 %RH @09:13:21 01/10/19  RH MIN: 53.6 %RH @13:25:45 01/10/19  RH AVG: 58.66 %RH,,,,,
----------------------------------------------------------------------------------------------------,,,,,
      NO            ,   Temp              ,,  RH                 ,, TIME 
176,   27.7 C           ,,   65.9 %RH           ,,01-10-19/09:14:01 
177,   27.7 C           ,,   66.0 %RH           ,,01-10-19/09:14:02 
178,   27.7 C           ,,   66.0 %RH           ,,01-10-19/09:14:03 
179,   27.7 C           ,,   65.9 %RH           ,,01-10-19/09:14:04 
180,   27.7 C           ,,   66.0 %RH           ,,01-10-19/09:14:05 
181,   27.7 C           ,,   66.0 %RH           ,,01-10-19/09:14:06 
182,   27.7 C           ,,   66.0 %RH           ,,01-10-19/09:14:07 
183,   27.7 C           ,,   66.0 %RH           ,,01-10-19/09:14:08 
184,   27.7 C           ,,   66.0 %RH           ,,01-10-19/09:14:09 
185,   27.7 C           ,,   66.0 %RH           ,,01-10-19/09:14:10 
186,   27.7 C           ,,   66.0 %RH           ,,01-10-19/09:14:11 
187,   27.7 C           ,,   66.0 %RH           ,,01-10-19/09:14:12 
188,   27.7 C           ,,   66.0 %RH           ,,01-10-19/09:14:13 
189,   27.7 C           ,,   66.0 %RH           ,,01-10-19/09:14:14 
190,   27.7 C           ,,   66.0 %RH           ,,01-10-19/09:14:15 
191,   27.7 C           ,,   66.0 %RH           ,,01-10-19/09:14:16 
192,   27.7 C           ,,   66.0 %RH           ,,01-10-19/09:14:17 
193,   27.7 C           ,,   66.0 %RH           ,,01-10-19/09:14:18 
194,   27.7 C           ,,   66.0 %RH           ,,01-10-19/09:14:19 
195,   27.7 C           ,,   66.0 %RH           ,,01-10-19/09:14:20 
196,   27.7 C           ,,   66.0 %RH           ,,01-10-19/09:14:21 
197,   27.7 C           ,,   66.0 %RH           ,,01-10-19/09:14:22 
198,   27.7 C           ,,   66.0 %RH           ,,01-10-19/09:14:23 
199,   27.7 C           ,,   66.0 %RH           ,,01-10-19/09:14:24 
200,   27.7 C           ,,   66.0 %RH           ,,01-10-19/09:14:25 
201,   27.7 C           ,,   66.1 %RH           ,,01-10-19/09:14:26 
202,   27.7 C           ,,   66.1 %RH           ,,01-10-19/09:14:27 
203,   27.7 C           ,,   66.1 %RH           ,,01-10-19/09:14:28 
204,   27.7 C           ,,   66.1 %RH           ,,01-10-19/09:14:29 
205,   27.7 C           ,,   66.1 %RH           ,,01-10-19/09:14:30 
206,   27.7 C           ,,   66.0 %RH           ,,01-10-19/09:14:31 
207,   27.7 C           ,,   66.1 %RH           ,,01-10-19/09:14:32 
208,   27.7 C           ,,   66.0 %RH           ,,01-10-19/09:14:33 
209,   27.7 C           ,,   66.0 %RH           ,,01-10-19/09:14:34 
210,   27.7 C           ,,   66.0 %RH           ,,01-10-19/09:14:35 
211,   27.7 C           ,,   66.0 %RH           ,,01-10-19/09:14:36 
212,   27.7 C           ,,   66.0 %RH           ,,01-10-19/09:14:37 
213,   27.7 C           ,,   66.0 %RH           ,,01-10-19/09:14:38 
