Sep = ,
"Delimiter = ,"
AethLabs
Device ID = AE51-S2-358-1012
Application version = 2.2.4.0
Flow = 99 ml/min
Timebase = 1 s
Start date = 2019/09/25
Start time = 09:12:00
Original date format = yyyy/MM/dd
Original time format = hh:mm:ss
Flow units = ml/min
PCB temp units = deg C
Battery units = %
BC units = ng/m^3

Date,Time,Ref,Sen,ATN,Flow,PCB temp,Status,Battery,BC
2019/09/25,09:16:23,917404,854035,"7.158",99,31,0,100,7676
2019/09/25,09:16:24,917474,854079,"7.160",99,31,0,100,8531
2019/09/25,09:16:25,917483,854071,"7.162",99,31,0,100,6601
2019/09/25,09:16:26,917611,854168,"7.165",99,31,0,100,8928
2019/09/25,09:16:27,917558,854100,"7.167",99,31,0,100,7523
2019/09/25,09:16:28,917585,854104,"7.169",99,31,0,100,8517
2019/09/25,09:16:29,917472,853972,"7.172",99,31,0,100,10810
2019/09/25,09:16:30,917509,853994,"7.174",99,31,0,100,5014
2019/09/25,09:16:31,917540,854003,"7.176",99,31,0,100,8003
2019/09/25,09:16:32,917471,853916,"7.179",99,31,0,100,9182
2019/09/25,09:16:33,917487,853915,"7.181",99,31,0,100,6406
2019/09/25,09:16:34,917495,853909,"7.182",99,31,0,100,5420
2019/09/25,09:16:35,917515,853902,"7.185",99,31,0,100,10326
2019/09/25,09:16:36,917529,853901,"7.187",99,31,0,100,5656
2019/09/25,09:16:37,917505,853855,"7.190",99,31,0,100,9540
2019/09/25,09:16:38,917554,853884,"7.192",99,31,0,100,6693
2019/09/25,09:16:39,917548,853863,"7.193",99,31,0,100,6215
2019/09/25,09:16:40,917565,853848,"7.197",99,31,0,100,12425
2019/09/25,09:16:41,917472,853734,"7.200",99,31,0,100,11071
2019/09/25,09:16:42,917483,853731,"7.202",99,31,0,100,5337
2019/09/25,09:16:43,917507,853732,"7.204",99,31,0,100,8602
2019/09/25,09:16:44,917550,853755,"7.206",99,31,0,100,6859
2019/09/25,09:16:45,917543,853720,"7.210",99,31,0,100,11486
2019/09/25,09:16:46,917516,853678,"7.212",99,31,0,100,6806
2019/09/25,09:16:47,917557,853701,"7.213",99,31,0,100,6108
2019/09/25,09:16:48,917522,853643,"7.216",99,31,0,100,10257
2019/09/25,09:16:49,917498,853603,"7.218",99,31,0,100,7126
2019/09/25,09:16:50,917512,853589,"7.222",99,31,0,100,10899
2019/09/25,09:16:51,917485,853544,"7.224",99,31,0,100,8018
2019/09/25,09:16:52,917500,853462,"7.235",99,31,0,100,38701
2019/09/25,09:16:53,917491,853432,"7.238",99,31,0,100,8724
2019/09/25,09:16:54,917458,853382,"7.240",99,31,0,100,7787
2019/09/25,09:16:55,917485,853369,"7.244",99,31,0,100,15375
2019/09/25,09:16:56,917465,853339,"7.246",99,31,0,100,4598
2019/09/25,09:16:57,917496,853349,"7.248",99,31,0,100,7597
2019/09/25,09:16:58,917436,853269,"7.251",99,31,0,100,9761
2019/09/25,09:16:59,917478,853285,"7.253",99,31,0,100,9304
2019/09/25,09:17:00,917364,853157,"7.256",99,31,0,100,8867
2019/09/25,09:17:01,917453,853210,"7.260",99,31,0,100,12011
2019/09/25,09:17:02,917441,853184,"7.261",99,31,0,100,5988
2019/09/25,09:17:03,917451,853171,"7.264",99,31,0,100,8997
2019/09/25,09:17:04,917479,853167,"7.267",99,31,0,100,12120
2019/09/25,09:17:05,917432,853102,"7.270",99,31,0,100,8593
2019/09/25,09:17:06,917429,853079,"7.272",99,31,0,100,8155
2019/09/25,09:17:07,917446,853072,"7.275",99,31,0,100,9203
2019/09/25,09:17:08,917438,853046,"7.277",99,31,0,100,7490
2019/09/25,09:17:09,917441,853019,"7.281",99,31,0,100,12022
2019/09/25,09:17:10,917420,852980,"7.283",99,31,0,100,7859
2019/09/25,09:17:11,917436,852964,"7.287",99,31,0,100,12461
2019/09/25,09:17:12,917453,852952,"7.290",99,31,0,100,11222
2019/09/25,09:17:13,917374,852857,"7.292",99,31,0,100,8700
2019/09/25,09:17:14,917314,852764,"7.297",99,31,0,100,15024
2019/09/25,09:17:15,917414,852839,"7.299",99,31,0,100,7251
2019/09/25,09:17:16,917506,852889,"7.303",99,31,0,100,14338
2019/09/25,09:17:17,917398,852769,"7.305",99,31,0,100,7914
2019/09/25,09:17:18,917428,852774,"7.308",99,31,0,100,9239
2019/09/25,09:17:19,917407,852732,"7.311",99,31,0,100,9075
2019/09/25,09:17:20,917434,852735,"7.313",99,31,0,100,8920
2019/09/25,09:17:21,917555,852824,"7.316",99,31,0,100,9472
2019/09/25,09:17:22,917510,852756,"7.319",99,31,0,100,10566
2019/09/25,09:17:23,917470,852697,"7.322",99,31,0,100,8810
2019/09/25,09:17:24,917432,852634,"7.325",99,31,0,100,11176
2019/09/25,09:17:25,917478,852648,"7.328",99,31,0,100,11608
2019/09/25,09:17:26,917560,852692,"7.332",99,31,0,100,13002
2019/09/25,09:17:27,917365,852487,"7.335",99,31,0,100,9605
2019/09/25,09:17:28,917431,852515,"7.339",99,31,0,100,13459
2019/09/25,09:17:29,917372,852427,"7.343",99,31,0,100,13397
2019/09/25,09:17:30,917395,852427,"7.345",99,31,0,100,8631
2019/09/25,09:17:31,917362,852374,"7.348",99,31,0,100,9021
2019/09/25,09:17:32,917372,852353,"7.351",99,31,0,100,12234
2019/09/25,09:17:33,917445,852391,"7.355",99,31,0,100,12045
2019/09/25,09:17:34,917550,852462,"7.358",99,31,0,100,10723
2019/09/25,09:17:35,917491,852380,"7.361",99,31,0,100,10979
2019/09/25,09:17:36,917388,852259,"7.364",99,31,0,100,10223
2019/09/25,09:17:37,917415,852250,"7.368",99,31,0,100,13767
2019/09/25,09:17:38,917376,852192,"7.371",99,31,0,100,8794
2019/09/25,09:17:39,917391,852178,"7.374",99,31,0,100,11284
2019/09/25,09:17:40,917438,852196,"7.377",99,31,0,100,10365
2019/09/25,09:17:41,917384,852113,"7.381",99,31,0,100,13267
